year,month,period,metric,median,n_readings,iqr,min_val,max_val,flags_consensus,needs_review
2020,4,day,avion,33.4,6,0.0,33.4,33.4,,
2020,4,day,total,54.1,6,0.0,54.1,54.1,,
2020,4,evening,avion,28.0,10,0.0,28.0,28.0,,
2020,4,evening,total,39.75,6,23.5,28.0,51.5,,high_spread_23.5|std_12.9
2020,4,night,avion,0.0,2,0.0,0.0,0.0,,only_2_readings
2020,4,night,total,49.3,12,0.0,49.3,49.3,,
2020,5,day,avion,33.1,13,0.0,33.1,33.1,,
2020,5,day,total,54.1,7,0.0,54.1,54.1,,
2020,5,evening,avion,26.6,10,0.0,26.6,26.6,,
2020,5,evening,total,51.6,8,25.0,26.6,51.6,,high_spread_25.0|std_12.9
2020,5,night,avion,16.7,13,0.0,16.7,16.7,,
2020,5,night,total,49.6,12,0.0,49.6,49.6,,
2020,6,day,avion,33.3,13,10.0,33.3,43.3,,high_spread_10.0|std_2.8
2020,6,day,total,54.5,7,0.0,54.5,54.5,,
2020,6,evening,avion,25.4,9,0.0,25.4,25.4,,
2020,6,evening,total,51.3,12,25.9,25.4,51.3,,high_spread_25.9|std_11.7
2020,6,night,avion,0.0,1,0.0,0.0,0.0,,only_1_readings
2020,6,night,total,49.4,12,0.0,49.4,49.4,,
2020,7,day,avion,36.0,13,0.0,36.0,36.0,,
2020,7,day,total,56.6,9,0.0,56.6,56.6,,
2020,7,evening,avion,21.7,10,5.400000000000002,21.7,27.1,,high_spread_5.4
2020,7,evening,total,51.9,9,30.2,21.7,51.9,,high_spread_30.2|std_13.3
2020,7,night,avion,0.0,5,0.0,0.0,0.0,,
2020,7,night,total,50.9,9,0.0,50.9,50.9,,
2020,8,day,avion,35.3,13,0.0,35.3,35.3,,
2020,8,day,total,58.4,6,0.0,58.4,58.4,,
2020,8,evening,avion,23.2,11,0.0,23.2,23.2,,
2020,8,evening,total,48.0,12,24.8,23.2,48.0,,high_spread_24.8|std_9.3
2020,8,night,avion,0.0,3,0.0,0.0,0.0,,
2020,8,night,total,45.4,12,0.0,45.4,45.4,,
2020,9,day,avion,39.6,13,0.0,39.6,39.6,,
2020,9,day,total,55.8,10,0.0,55.8,55.8,,
2020,9,evening,avion,28.6,11,0.10000000000000142,28.5,28.6,,
2020,9,evening,total,51.9,10,23.299999999999997,28.6,51.9,,high_spread_23.3|std_9.8
2020,9,night,avion,16.0,13,0.0,16.0,16.0,,
2020,9,night,total,50.4,11,0.0,50.4,50.4,,
2020,10,day,avion,38.8,13,0.0,38.8,38.8,,
2020,10,day,total,54.8,5,0.0,54.8,54.8,,
2020,10,evening,avion,32.8,11,0.0,32.8,32.8,,
2020,10,evening,total,52.1,12,19.400000000000006,32.8,52.2,,high_spread_19.4|std_7.5
2020,10,night,avion,0.0,5,0.0,0.0,0.0,,
2020,10,night,total,49.9,12,0.0,49.9,49.9,,
2020,11,day,avion,37.5,13,10.0,37.5,47.5,,high_spread_10.0|std_2.8
2020,11,day,total,55.1,12,0.0,55.1,55.1,,
2020,11,evening,avion,32.7,12,0.0,32.7,32.7,,
2020,11,evening,total,51.7,9,9.0,42.7,51.7,,high_spread_9.0|std_3.0
2020,11,night,avion,14.5,12,0.0,14.5,14.5,,
2020,11,night,total,49.3,12,0.0,49.3,49.3,,
2020,12,day,avion,39.7,13,0.0,39.7,39.7,,
2020,12,day,total,54.7,5,0.0,54.7,54.7,,
2020,12,evening,avion,32.9,13,0.0,32.9,32.9,,
2020,12,evening,total,51.7,10,0.0,51.7,51.7,,
2020,12,night,avion,0.0,6,0.0,0.0,0.0,,
2020,12,night,total,49.3,12,0.0,49.3,49.3,,
2021,1,day,avion,36.5,10,10.0,36.5,46.5,,high_spread_10.0|std_3.2
2021,1,day,total,54.3,9,0.0,54.3,54.3,,
2021,1,evening,avion,30.7,13,0.0,30.7,30.7,,
2021,1,evening,total,50.7,12,0.0,50.7,50.7,,
2021,1,night,avion,0.0,8,0.0,0.0,0.0,,
2021,1,night,total,49.3,12,0.0,49.3,49.3,,
2021,2,day,avion,37.6,12,0.0,37.6,37.6,,
2021,2,day,total,54.9,7,0.0,54.9,54.9,,
2021,2,evening,avion,30.1,13,0.0,30.1,30.1,,
2021,2,evening,total,52.5,12,0.0,52.5,52.5,,
2021,2,night,avion,0.0,6,0.0,0.0,0.0,,
2021,2,night,total,49.9,12,0.0,49.9,49.9,,
2021,3,day,avion,38.4,11,5.0,33.4,38.4,,
2021,3,day,total,54.4,4,0.0,54.4,54.4,,
2021,3,evening,avion,31.9,12,0.0,31.9,31.9,,
2021,3,evening,total,52.1,11,0.0,52.1,52.1,,
2021,3,night,avion,18.8,13,0.6000000000000014,18.2,18.8,,
2021,3,night,total,49.9,12,0.0,49.9,49.9,,
2021,4,day,avion,38.6,13,2.0,36.6,38.6,,
2021,4,day,total,54.3,12,4.0,50.3,54.3,,
2021,4,evening,avion,30.8,13,0.0,30.8,30.8,,
2021,4,evening,total,51.8,6,0.0,51.8,51.8,,
2021,4,night,avion,12.2,10,1.1000000000000014,12.2,13.3,,
2021,4,night,total,49.7,12,0.0,49.7,49.7,,
2021,5,day,avion,38.1,6,0.0,38.1,38.1,,
2021,5,day,total,54.4,5,0.0,54.4,54.4,,
2021,5,evening,avion,30.5,13,0.0,30.5,30.5,,
2021,5,evening,total,51.8,4,0.0,51.8,51.8,,
2021,5,night,avion,0.0,7,0.0,0.0,0.0,,
2021,5,night,total,49.9,12,0.0,49.9,49.9,,
2021,6,day,avion,36.3,7,10.0,36.3,46.3,,high_spread_10.0|std_3.7
2021,6,day,total,56.2,12,0.0,56.2,56.2,,
2021,6,evening,avion,21.1,9,49.99999999999999,21.1,71.1,,high_spread_50.0|std_26.4
2021,6,evening,total,51.7,3,0.0,51.7,51.7,,
2021,6,night,avion,15.7,10,0.0,15.7,15.7,,
2021,6,night,total,49.6,13,0.0,49.6,49.6,,
2021,7,day,avion,38.7,11,35.099999999999994,38.7,73.8,,high_spread_35.1|std_10.7
2021,7,day,total,54.7,8,0.0,54.7,54.7,,
2021,7,evening,avion,44.0,12,55.199999999999996,16.4,71.6,¹,high_spread_55.2|std_28.8
2021,7,evening,total,51.8,3,0.0,51.8,51.8,,
2021,7,night,avion,0.0,4,0.0,0.0,0.0,,
2021,7,night,total,50.5,13,0.0,50.5,50.5,,
2021,8,day,avion,37.8,11,35.900000000000006,37.8,73.7,,high_spread_35.9|std_14.4
2021,8,day,total,57.2,13,0.0,57.2,57.2,,
2021,8,evening,avion,22.8,12,5.0,22.8,27.8,,
2021,8,evening,total,48.8,8,0.0,48.8,48.8,,
2021,8,night,avion,0.0,3,0.0,0.0,0.0,,
2021,8,night,total,47.9,12,0.0,47.9,47.9,,
2021,9,day,avion,39.9,12,0.0,39.9,39.9,,
2021,9,day,total,54.9,4,0.0,54.9,54.9,,
